channel_id,channel_title,role,Individual/Affiliated,citations,h-index,i10-index
UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,freelancer,,,,
UCNQ6FEtztATuaVhZKCY28Yw,Chai aur Code,freelancer,,,,
UCYA8cEWaqrpB4olR5533p5Q,Anwar Haq,freelancer,,,,
UCZ50rYSkYQG31YDEJm9Di_g,Coursera,scientist,Company Affiliated,18266,92,149
UCm5mt-A4w61lknZ9lCsZtBw,Steve Brunton,scientist,Individual,55124,89,244
UC7zZ2-Q_oxbUaoMVL0z51wg,Sajjaad Khader,freelancer,,,,
UCzAF54cHk1ZO82af-8E3qOQ,CareerFoundry,freelancer,,,,
UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,freelancer,,,,
UCkw4JCwteGrDHIsyIIKo4tQ,edureka!,scientist,Company Affiliated,628,13,22
UCChmJrVa8kDg05JfCmxpLRw,Darshil Parmar,freelancer,,,,
UCH6gDteHtH4hg3o2343iObA,Analytics Vidhya,freelancer,,,,
UCUzGQrN-lyyc0BWTYoJM_Sg,What's AI by Louis-Fran�ois Bouchard,freelancer,,,,
UCZ-qVFZubQ-pVHc9SQ9HjzQ,Codelopment,freelancer,,,,
UCCWi3hpnq_Pe03nGxuS7isg,CampusX,freelancer,,,,
UCxKAuN76I7bkAK0sRVOWcuQ,Jerry Strazzeri,freelancer,Individual,,,
UCTVTlRE_gyvZvEFJOxRZlrA,DataScientest,freelancer,,,,
UCa9gErQ9AE5jT2DZLjXBIdA,Shaw Talebi,freelancer,,,,
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,freelancer,,,,
UCY6N8zZhs2V7gNTUxPuKWoQ,Ishan Sharma,freelancer,,,,
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,scientist,Company Affiliated,5996,37,147
UCkR95L-wEZ6ClrPzqDPsiwA,Charlotte Chaze | Break Into Tech,freelancer,,,,
UCSuSMflMkn4yH9QA5vzsDyA,Anshul Sethi,freelancer,,,,
UCxXL5491Db9U8Rhfs-2LVFg,Asimov Academy,employee,,,,
UCZEHy3wlCHg9sk2FO79n-aw,Living In Telkom,freelancer,,,,
UCAq9f7jFEA7Mtl3qOZy2h1A,Data with Zach,freelancer,,,,
UCM6BWkgiGrCHG967i_PyMiw,Dicoding Indonesia,employee,,,,
UCKUzdt2sELyxd6mz-bAx3bA,Rai,freelancer,,,,
UCeVMnSShP_Iviwkknt83cww,CodeWithHarry,freelancer,,,,
UCuyfszBAd3gUt9vAbC1dfqA,Avery Smith | Data Analyst,freelancer,,,,
UC2cIYtzg3PfVZdnjepLoSLQ,CYC Official ,freelancer,,,,
UChz4r4VXwPxTqx083Am0IeQ,Khoury College of Computer Sciences,employee,,,,
UCCix0G-RLoRTenSFEGrQILQ,Algoritma Enterprise AI Education,freelancer,,,,
UCf8Pck0ge4_qV3Pc4xV31Xg,Shahi Vlogs,freelancer,,,,
UCf1DIJD9jzFTHpn7uvZTn3A,Shiva Gautam,freelancer,,,,
UCPvDKIsrjA_h3g5yZJwCIHA,Tech Classes,freelancer,,,,
UCAWsBMQY4KSuOuGODki-l7A,Emma Ding,freelancer,,,,
UCHz35rvIKf2CMqj7oiMv9WQ,DecisionForest,freelancer,,,,
UC55-mxUj5Nj3niXFReG44OQ,Platzi,freelancer,,,,
UCYbd9AIkp7outXrlT4h-CFw,Cit� des M�tiers des C�tes d'Armor,freelancer,,,,
UC9Tl0-lzeDPH4y7LcRwRSQA,Egor Howell,freelancer,,,,
UCkcqmxjMXaBb0kDWqqSEU1g,Sahil & Sarra,freelancer,,,,
UCBwmMxybNva6P_5VmxjzwqA,Apna College,freelancer,,,,
UCwo0hMpDDHhb9RBbMOL3qEQ,Skooldio,freelancer,,,,
UCNU_lfiiWBdtULKOw6X0Dig,Krish Naik,freelancer,,,,
UCJQJAI7IjbLcpsjWdSzYz0Q,Thu Vu,freelancer,,,,
UCJa8Lz7Ps1UmqRXKR6NOFtw,Tim Joo,scientist,Individual,11,1,1
UCxZC-5v-UccF6FXGI7VXgoQ,The iScale,freelancer,,,,
