channel_id,channel_title,video_id,cluster_label,Labels,pca_1,pca_2,kmeans_cluster,hierarchical_cluster,dbscan_cluster
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,4VENens_ZU8,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.719792448,3.25852796,2,0,-1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,pWWooQr_3ok,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.827654705,0.837215374,2,0,-1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,OivTPt5LQh0,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.708558639,1.941394272,2,0,0
UCZf_9SblvM8iTTkouFEcHtA,Marina Wyss - AI & Machine Learning,rQo1vkCe8OE,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,3.958884337,0.142761894,2,0,-1
UCkw4JCwteGrDHIsyIIKo4tQ,edureka!,RCbz5SoEIG0,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,4.256630317,-1.485334749,0,0,-1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,oFkygFxJ9js,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.155212788,1.755174177,2,0,0
UCkcqmxjMXaBb0kDWqqSEU1g,Sahil & Sarra,sDlH-YPXd0A,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.556015843,1.269870826,2,0,-1
UCkcqmxjMXaBb0kDWqqSEU1g,Sahil & Sarra,sDlH-YPXd0A,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.556015843,1.269870826,2,0,-1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,hfLy1c2e4CE,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,3.222967334,0.805733246,2,0,-1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,hfLy1c2e4CE,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,3.222967334,0.805733246,2,0,-1
UC8_RSKwbU1OmZWNEoLV1tQg,Data with Baraa,uEfvSWM49pY,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.979233707,0.060710131,2,0,-1
UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,XU5pw3QRYjQ,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.997521584,-0.394643002,2,0,-1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,urNjaNCY1mw,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,1.776434013,2.338650194,2,0,0
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,J5c70VVA9bU,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.051168887,0.163887122,2,0,0
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,ruDfwMFpUh0,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,1.525137386,2.964297713,2,0,-1
UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science,YC2dq5lwE2o,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,1.115114325,2.723120898,2,0,0
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,vtCwJKUhizg,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.161142539,1.29633133,2,0,0
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,C5kvx8J3010,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.209480049,1.383626537,2,0,0
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,cl1H0gY0mVo,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.275594313,0.99185736,2,0,0
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,uLIQ014gWcA,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,1.773216556,2.893062835,2,0,0
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,KZgd2UiapE0,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,1.605050994,0.285363591,2,0,0
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,3O-uRFt9zeI,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,1.641210759,1.739085737,2,0,0
UC9Tl0-lzeDPH4y7LcRwRSQA,Egor Howell,UF7C3HoT4k0,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,3.17146777,-0.898777261,0,0,-1
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,OQnvWsYl9rc,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.789458399,-0.643052306,2,0,-1
UCs5Y5_7XK8HLDX0SLNwkd3w,Visual Studio Code,EZ_KDKoBBb4,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,3.119765088,0.277668225,2,0,0
UCkw4JCwteGrDHIsyIIKo4tQ,edureka!,,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.270468809,0.092277403,2,0,-1
UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,JL_grPUnXzY,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.307067807,1.164390079,2,0,0
UC7zZ2-Q_oxbUaoMVL0z51wg,Sajjaad Khader,EeXoHhUdO8Q,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,2.29435875,-0.571864828,2,0,0
UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,LHBE6Q9XlzI,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,1.698411437,1.297766785,2,0,0
UCs5Y5_7XK8HLDX0SLNwkd3w,Visual Studio Code,HrRA67O-QXI,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,3.17421785,-0.304419505,2,0,0
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,6rYVt_2q_BM,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,1.925715366,0.413996705,2,0,0
UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,9R3X0JoCLyU,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,1.72778014,0.501118383,2,0,-1
UCkw4JCwteGrDHIsyIIKo4tQ,edureka!,xPh5ihBWang,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,2.645585576,-2.326152801,0,3,-1
UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,ax_NNtpSb0c,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,1.823838541,1.341182056,2,0,0
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,iMfg6Qtj8hA,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,0.899368538,-0.495506687,2,0,-1
