channel_id,github_link,linkedin_link,twitter_link,instagram_link,course_link,website_link
UCKWaEZ-_VweaEx1j62do_vQ,,,,,,https://ibm.biz/BdK65F
UCsvqVGtbbyHaMoevxPAq9Fg,,,,,,
UCWv7vMbMWH4-V0ZXdmDpPBA,,https://www.linkedin.com/school/codewithmosh/,https://twitter.com/moshhamedani,https://www.instagram.com/codewithmosh.official/,,https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join
UCelp2mfpa0fors7HePAodoA,,https://www.linkedin.com/in/jeanklee/,,,,https://youtu.be/6MXJ1ZAGNFI
UCV0qA-eDDICsRR9rPcnG7tw,,,https://twitter.com/jomakaze,https://www.instagram.com/jomakaze/,,https://www.facebook.com/jomakaze
UCKWaEZ-_VweaEx1j62do_vQ,,,,,,https://ibm.biz/BdSPGc
UCh9nVJoWXmFb7sLApWGcLPQ,,https://www.linkedin.com/in/dhavalsays/,https://twitter.com/codebasicshub,https://www.instagram.com/dhavalsays/,,https://www.youtube.com/watch?v=ER2It2mIagI
UCzAF54cHk1ZO82af-8E3qOQ,,,,,,https://careerfoundry.com/en/blog/
UCsvqVGtbbyHaMoevxPAq9Fg,,,,,https://www.simplilearn.com/data-science-course?utm_campaign=X3paOmcrTjQ&utm_medium=DescriptionFirstFold&utm_source=Youtube,https://www.simplilearn.com/pgp-data-science-certification-bootcamp-program?utm_campaign=X3paOmcrTjQ&utm_medium=DescriptionFirstFold&utm_source=Youtube
UCJQJAI7IjbLcpsjWdSzYz0Q,,,,,https://python-course-earlybird.framer.website/?&utm_source=dsbooksbg,https://thu-vu.ck.page/49c5ee08f6
UCLLw7jmFsvfIVaUFsLs8mlQ,,https://www.linkedin.com/in/luke-b/,https://twitter.com/LukeBarousse,https://www.instagram.com/lukebarousse/,https://kit.co/lukebarousse/data-analytics-courses,https://lukeb.co/GoogleCert
UCm5mt-A4w61lknZ9lCsZtBw,,,,,,http://databookuw.com/
UCKWaEZ-_VweaEx1j62do_vQ,,,,,,https://ibm.biz/BdniBn
UC8butISFwT-Wl7EV0hUK0BQ,,,,,,https://www.youtube.com/user/datalabcc
UCteRPiisgIoHtMgqHegpWAQ,,,https://twitter.com/sundaskhalid6,https://instagram.com/sundaskhalidd,,https://clickhubspot.com/rbi
UC8butISFwT-Wl7EV0hUK0BQ,,,,,,https://scrimba.com/freeCodeCamp-Career
UCZ50rYSkYQG31YDEJm9Di_g,,,,,,https://bit.ly/4hvUS1c
UCteRPiisgIoHtMgqHegpWAQ,,https://www.linkedin.com/in/sundaskhalid,https://www.twitter.com/sundaskhalid6,https://www.instagram.com/sundaskhalidd,,https://clickhubspot.com/cw0
UCkw4JCwteGrDHIsyIIKo4tQ,,https://www.linkedin.com/company/edureka,https://twitter.com/edurekain,https://www.instagram.com/edureka_learning/,https://www.edureka.co/data-science-python-certification-course,https://www.edureka.co/masters-program/data-scientist-certification
UCAWsBMQY4KSuOuGODki-l7A,https://github.com/chiphuyen/dmls-book/blob/main/resources.md,https://www.linkedin.com/in/emmading001/,,,,https://www.openintro.org/
UCs5Y5_7XK8HLDX0SLNwkd3w,,,,,,https://youtu.be/NLGIc9_3su8
UCKWaEZ-_VweaEx1j62do_vQ,,,,,,https://ibm.biz/BdmSiA
UCkw4JCwteGrDHIsyIIKo4tQ,,,,,,https://www.edureka.co/masters-program/data-scientist-certification
UCsvqVGtbbyHaMoevxPAq9Fg,,,,,https://www.simplilearn.com/data-science-course?utm_campaign=KxryzSO1Fjs&utm_medium=DescriptionFFF&utm_source=Youtube,https://www.simplilearn.com/data-analyst-certification-course?utm_campaign=KxryzSO1Fjs&utm_medium=DescriptionFFF&utm_source=Youtube
UC8butISFwT-Wl7EV0hUK0BQ,,,https://codingwithmax.com/webinar/data-scientist/,,,https://scrimba.com/freeCodeCamp-Databases
UCsT0YIqwnpJCM-mx7-gSA4Q,,,,,,https://www.ted.com/tedx
UCsvqVGtbbyHaMoevxPAq9Fg,,,,,https://www.simplilearn.com/iitk-professional-certificate-course-data-science?utm_campaign=uLIQ014gWcA&utm_medium=DescriptionFF&utm_source=youtube,https://www.simplilearn.com/pgp-data-science-certification-bootcamp-program?utm_campaign=uLIQ014gWcA&utm_medium=DescriptionFF&utm_source=youtube
UCEBpSZhI1X8WaP-kY_2LLcg,,https://www.linkedin.com/school/365datascience/,,https://www.instagram.com/365datascience/,,https://bit.ly/41kQGLP
UC2UXDak6o7rBm23k3Vv5dww,,https://www.linkedin.com/in/tinaw-h/,,https://www.instagram.com/hellotinah/,,https://tinahuang.substack.com/
UCsvqVGtbbyHaMoevxPAq9Fg,,,,,https://www.simplilearn.com/data-science-course?utm_campaign=bQZk18rke2o&utm_medium=DescriptionFirstFold&utm_source=Youtube,https://www.simplilearn.com/pgp-data-science-certification-bootcamp-program?utm_campaign=bQZk18rke2o&utm_medium=DescriptionFirstFold&utm_source=Youtube
UCZf_9SblvM8iTTkouFEcHtA,,,,,,https://www.gratitudedriven.com/subscribe
UCh9nVJoWXmFb7sLApWGcLPQ,,https://www.linkedin.com/in/dhavalsays/,https://twitter.com/codebasicshub,https://www.instagram.com/dhavalsays/,https://codebasics.io/courses/math-and-statistics-for-data-science,https://www.youtube.com/playlist?list=PLeo1K3hjS3uuKaU2nBDwr6zrSOTzNCs0l
UCo7EHzKF2zDFWszw7Dg4mPw,,,https://twitter.com/AluraOnline,https://www.instagram.com/aluraonline,,https://colab.research.google.com/
UCsvqVGtbbyHaMoevxPAq9Fg,,,,,https://www.simplilearn.com/big-data-and-analytics/senior-data-scientist-masters-program-training?utm_campaign=OQnvWsYl9rc&utm_medium=DescriptionFirstFold&utm_source=Youtube,https://www.simplilearn.com/pgp-data-science-certification-bootcamp-program?utm_campaign=OQnvWsYl9rc&utm_medium=DescriptionFirstFold&utm_source=Youtube
UCkw4JCwteGrDHIsyIIKo4tQ,,https://www.linkedin.com/company/edureka,https://twitter.com/edurekain,https://www.instagram.com/edureka_learning,,https://www.edureka.co/masters-program/data-scientist-certification
UCsvqVGtbbyHaMoevxPAq9Fg,,,,,https://www.simplilearn.com/data-science-course?utm_campaign=vtCwJKUhizg&utm_medium=DescriptionFFF&utm_source=Youtube,https://www.simplilearn.com/data-analyst-certification-course?utm_campaign=vtCwJKUhizg&utm_medium=DescriptionFFF&utm_source=Youtube
UCs5Y5_7XK8HLDX0SLNwkd3w,,,,,,https://aka.ms/data-science-from-scratch
UCCktnahuRFYIBtNnKT5IYyg,,,,,https://intellipaat.com/data-scientist-course-training/,https://goo.gl/hhsGWb
UCkw4JCwteGrDHIsyIIKo4tQ,,https://www.linkedin.com/company/edureka,https://twitter.com/edurekain,https://www.instagram.com/edureka_learning/,https://www.edureka.co/data-science-python-certification-course,https://www.edureka.co/masters-program/data-scientist-certification
UCsT0YIqwnpJCM-mx7-gSA4Q,,,,,,https://www.ted.com/tedx
UC-e2aGRMGMl67MDJoqcj19Q,,,https://twitter.com/@TTBusinessTech,,,https://searchbusinessanalytics.techtarget.com/feature/Data-science-interview-preparation-How-to-answer-top-questions?utm_source=youtube&utm_medium=description&utm_campaign=042021ds&utm_content=ds&Offer=OTHR-youtube_OTHR-video_OTHR-ds_2021April01_ds
UCteRPiisgIoHtMgqHegpWAQ,,https://www.linkedin.com/in/sundaskhalid,,https://www.instagram.com/sundaskhalidd,,https://datacamp.pxf.io/datascinetist1
UCZf_9SblvM8iTTkouFEcHtA,,,https://x.com/iammarinawyss,https://www.instagram.com/marina.wyss/,,https://boot.dev/?promo=MARINAWYSS
UC_fyAp919RnkKmBrMXGwnUQ,,,,,https://www.coursera.org/google-certificates/advanced-data-analytics-certificate?utm_source=google&utm_medium=institutions&utm_campaign=youtube-organic__geo--Global&utm_content=vid--4DlsTsqpY84__topic--ADA&utm_term=youtube-description,https://goo.gle/subscribegcc
UCteRPiisgIoHtMgqHegpWAQ,,,,,,
