channel_id,channel_title,channel_description,Category,subscribers,total_views,total_videos,total_likes,Individual_company_brand
UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,"Hi! My name is Tina and I�m an ex-Meta data scientist.

This channel is about AI, coding, tech, career and self-study.

My goal is always to minimize effort and maximise outcome.

I basically refuse to do extra work to achieve my goals (which is why I love AI�)


",Data Science,1060000,46431564,293,,Individual
UCNQ6FEtztATuaVhZKCY28Yw,Chai aur Code,"A channel dedicated to chai and coding in HINDI. A lot happens over chai and I am a big-time chai lover. Let's sip tea and write some code and some chit-chat.
Ab ye b Hindi me linkne to mat bolna, abhi ke liye itna hi likenge.
Baaki baad me.

Sponsors ka welcome h: team@hiteshchoudhary.com
Sports betting, SKILLS based Games etc apps ka promotion hum lete nhi. 
",Diverse,797000,78959681,670,,Individual
UCYA8cEWaqrpB4olR5533p5Q,Anwar Haq,"This channel guides aspiring data scientists, providing clarity on the ""why"" and ""how"" of a Data Science career.
It shares insights and experiences to help you navigate your journey.
Take a Free 2 minute assessment test to find your #1 bottleneck holding you back from getting a 6-Figure Data Science Career:
https://anwar-ul-bpk8r1k2.scoreapp.com/
",Data Science,16000,522650,123,,Individual
UCZ50rYSkYQG31YDEJm9Di_g,Coursera,"Welcome to Coursera! This channel is your go-to source for actionable career insights and professional development! Whether you�re just starting out or looking to advance in your field, our channel offers expert advice, skill-building tips, and industry trends to help you achieve your career goals.

We cover a wide range of topics, from emerging tech skills and data analysis to leadership strategies and workplace productivity. Our videos are designed to provide you with practical knowledge that you can apply immediately in your job or studies.

Join us every week for new content that will empower you to take control of your career. Subscribe now, and don't forget to hit the notification bell so you never miss an update. Let�s unlock your potential and take your career to the next level!
",Diverse,314000,37321520,1684,,Company/brand
UCm5mt-A4w61lknZ9lCsZtBw,Steve Brunton,,Diverse,480000,29826335,560,,Individual
UC7zZ2-Q_oxbUaoMVL0z51wg,Sajjaad Khader,"Teaching you how to break into tech in 2025. 

?? Hi! I'm Sajjaad, a 23 year old big tech software engineer (ex-Amazon). 
?? I graduated with a masters degree from Georgia Tech in computer science at 20. 

Through sharing my own academic/career experiences, exploring useful tools, and interviewing successful people in tech, I hope to inspire a new generation of folks interested in tech and demystify the process when it comes to education and finding great jobs with great pay!

?? My Other Socials
??Instagram: @sajjaad.khader - 465k Followers
??TikTok: @sajjaadkhader - 185k Followers
??LinkedIn: sajjaad-khader - 45k Followers

?? Check out my free resume template!
https://sajjaad-s-site.thinkific.com/courses/land-tech-job
",Diverse,210000,34507015,1211,,Individual
UCzAF54cHk1ZO82af-8E3qOQ,CareerFoundry,"CareerFoundry is a leading online school for career change, dedicated to educating the next generation of tech talent. We offer cutting-edge courses in UX Design, Web Development, Data Analytics, Digital Marketing and UI Design and Product Management, working with the industry's best professionals in each field to create the most thorough learning materials that promise to take you from beginner to job-ready (guaranteed) in 6-10 months.

Learn about our UX Design, Web Development, Data Analytics, Digital Marketing and UI Design courses here: https://careerfoundry.com/",Diverse,302000,16606795,381,,Individual
UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,"I talk about life in Silicon Valley and at big tech companies.

Follow me on:
Instagram: http://instagram.com/jomakaze
Twitter: https://twitter.com/jomakaze

Business inquiries: business@joma.io

Facebook: Joma Tech 
Instagram: jomakaze",Diverse,2350000,193817330,89,,Individual
UCkw4JCwteGrDHIsyIIKo4tQ,edureka!,"Thank you for Subscribing! If you have not, Subscribe now!

We are a live & interactive e-learning platform with the mission of making learning accessible to everyone. We offer instructor-led courses, along with 24/7 on-demand support to achieve highest course completion rates in the industry! Our real-life projects, 24*7 Support, Personal Learning Managers ensure that your learning goals are met!

Special offer! Flat 20% Off on All Courses, Use Code ""??????????????????""

By subscribing to Edureka Channel, you'll never miss out on high-quality videos, webinars, sample classes & lectures from industry practitioners & influencers. Our research team curates content on trending topics in the areas of DevOps, Generative AI, Data Science, Artificial Intelligence, Cybersecurity, AWS, Azure, Google Cloud, Salesforce, Blockchain, React, Python, Selenium, Tableau, PMP and many more. 

Call us on IND: 9606058406 / US & Other Countries: +18335643323 (toll-free) to talk to our Course Advisors.",Diverse,4420000,459719903,11786,,Company/brand
UCChmJrVa8kDg05JfCmxpLRw,Darshil Parmar,"Freelance Data Engineer and Solution Architect. 

I love learning about technology and teaching thing I know to other people. The goal of creating this channel was to teach everything I know to the world, I have spent most of my time learning things online and I want to share all my learning on this youtube channel. 

I will be posting content related to data engineering, architecting systems, data science, machine learning, and interview preparation.

Happy Learning :) 
",Data Science,196000,10263628,165,,Individual
